Tweet,Recreational Use,Pain,Sleep,Mental Health,High,Diet/lite,Comparison,Whole plant cannabis,Safety,Regulation,Adverse Event,Questionable production method,Public health warning,FDA warning,Dismissing warning,Crackdown,Gummy/Edible,Cart,Hangover,Positive commentary,negative commentary
my roommate got some delta 8 gummies from the smoke shop and i might go back before it closes to get more bc this shit WOW,1,,,,,,1,,,,,,,,,,1,,,,
Legalize weed please because delta 8 is literally the only thing that has helped with my joint pain and maybe if actual weed was legal I would have more options for pain management,,1,,,,,,,,1,,,,,,,,,,,
If this is you stop in for some treatment options and products. CBD and Delta 8 will help as well as a good joint compound supplement. #painmanagement #jointpain #cbd #delta8 #reiki #MagnetTherapy #lighttherapy #pittsburgh #southhills,,1,,,,,,,,1,,,,,,,,,,,
" Saline IV, 1000ml Face with tears of joy. If you can’t get that, then some delta 8, at the CBD shop. Cures the headache part like bam, goes right away.",,1,,,,,,,,1,,,,,,,,,,,
" I have 3 Juuls on me at any time lmao but only Virginia tobacco and I heard you're a menthol boy. 
Delta 8 is basically legal mid-range weed.",,,,,,1,,,,,,,,,,,,,,,
Just checked and delta 8 isn’t kosher in MS either. Been a game changer for my sleep and recovery.,,1,1,,,,,,,,,,,,,,,,,,
I just discovered delta 8 gummies.  They are legal here and I sleep and feel so much better.  I do t care what people think.  It’s my body and my health and these help so much,,1,1,1,,,,,,,,,,,1,,1,,,,
Bro some cbd delta 8 gummies would go soo crazy this morning,,,,,,,,,,,,,,,,,1,,,,
" So yeah, DELTA-8? A scientific miracle or what?",,,,,,,,,,,,,,,,,,,,1,
" Dude, I'm gonna go get some Delta-8 THC gummies today.  Time for some chill drawing time.  (Weed isn't legal in Wisconsin, but CBD, Delta-8 and Delta-10 THC is.  So I use whats I can gets)",,,,,,,,,,,,,,,,,1,,,,
That Delta 8 gummy had me on the ropes earlier today... Thought it was my time..,,,,,,,,,,,,,,,,,1,,,,
I don't trust the Delta 8 market yet. Someone I was visiting had some d8 gummies so they gave me some for sitting around in the airport I ate 300 mg of Delta 8 THC before I got to the airport and I've been sober as fuck all day.,,,,,,,,,,,,,,,,,1,,,,
A great post for all : The FDA Warns Consumers of the Risks Associated with Delta-8 THC Products,,,,,,,,,,,,,,1,,,,,,,
" Dont do what I did. I overdid it too. Did it with Kratom and then Delta 8. Threw up crazy bad for 2 days on the first one, and had a very bad trip on the second. Just need the jays I smoked back in college many, many years ago. And today I'd probably vape them.",,,,,,,,,,,1,,,,,,,1,,,
" can’t believe i just learned about delta 8, its pretty enjoyable stuff",,,,,,,,,,,,,,,,,,,,1,
that delta 8 is actually ight tho lol. i fw it.,,,,,,,,,,,,,,,,,,,,1,
A few studies came out about how dangerous the Delta 8 stuff is and how unlike regular cannabis you can have an adverse reaction and die,,,,,,,1,,,,1,,1,,,,,,,,
Delta-8 THC Ban Nearly Added to Outdoor Cannabis Farming Bill,,,,,,,,,,,,,1,,,1,,,,,
" Investment bankers, CFOs, and treasurers coming into my store and dropping hundreds of dollars on delta 8 shit and kratom what the fuck is this city",,,,,,,1,,,,,,,,,,,,,,
" If your sober try the delta 8 , or Delta 10 gummies. They’re only 3-5% thc and they really work! I’d pry go for one of the “indicas” cuz some of the sativas will actually give you energy",,,,,,,1,,,,,,,,,,1,,,,
Delta 8 is garbage,,,,,,,,,,,,,,,,,,,,,1
" Basically everything, lmao. Rn I’m tryna figure out how to see the weed man before work and not seem sus to my mom. I tried these delta 8 cartridges the other day and they didn’t slap like the real shit so I’m just like “fuck sobriety” at this point",,,,,,1,1,,,,,,,,,,,,,,1
" delta 8 is the g-spot of weed that i never knew i needed. no anxiety, relaxed, and motivated.",,1,,1,,,,,,,,,,,,,,,,1,
down bad last night i had delta 8,,,,,,,1,,,,,,,,,,,,,,
Delta 8 is super weird. I love it.,,,,,,,1,,,,,,,,,,,,,1,
delta 8 is an answered prayer,,,,,,,,,,,,,,,,,,,,1,
Delta 8 edibles are surprisingly nice. Tried my first one yesterday and got like 13 hours of sleep 10/10.,,,1,,,,,,,,,,,,,,1,,,1,
" Migraines are on every states list of excepted for medical marijuana. 
I checked. I have a migraine every day. Maybe not the entire day, but most of it. A high quality CBD or my favorite, Delta 8. I get them in a tincture and capsules. It even works for me if it's in a candy bar",,1,,,,,,,,,,,,,,,,,,1,
" what a very chill and relaxing monday night i’m about to have. just me, netflix, my intrusive thoughts and delta 8 vape.",1,,,,,,,,,,,,,,,,,1,,,
Tell me you don’t smoke weed without telling me you actually smoke weed…and it’s these fucks out here smoking/eating/drinking delta 8 like it’s the best thing since sliced bread Face with tears of joyFace with tears of joyFace with tears of joy we get access to medical weed at a legal level & ppl wanna go backwards.,,,,,,,1,,,,,,,,,,,,,,1
The wildest thing on the planet to me is gas stations in Ohio selling CBD and Delta-8 flower/prerolls/cartridges but Delta-9 THC being medicinal only. Also who regulates the Delta-8 products?,,,,,,,1,,,1,,,,,,,,,,,
Them delta 8 edibles at the smoke shop? Ain’t no mf joke,,,,,,,,,,,,,,,,,1,,,,
local headshop has kratom with delta 8 mixed in. Someone stop them.,,,,,,,,,,,,1,,,,,,,,,
There’s a coffee shop by my apartment that sells delta 8 infused coffee and it’s the best thing that’s ever happened to me,1,,,,,,,,,,,1,,,,,,,,1,
I work at an adult store where we sell Delta 8 products and I bought a seltzer water with 25mg in it and good god I was high-adjacent for like 5 hours. Like almost TOO mellow. It kinda fucked me up lol,1,,,,1,,1,,,,,,,,,,,,,,
I’m smoking delta 8 right now. I feel the high but I like feeling more high lmao. It’s like weed that won’t get there for me. I be annoyed.,,,,,,1,,,,,,,,,,,,,,,
Delta 8 doesn’t do anything for me anymore. It did at first but I don’t really smoke it anymore. The tincture hits sometimes but I have to get the dose right. I’m excited for thc o.,,,,,,1,,,,,,,,,,,,,,,
" Feds warn about delta-8 THC (Newsletter: September 15, 2021) -",,,,,,,,,,,,,,1,,,,,,,
" Just got new Botox, cruising around the city listening to cherry blossom by kacey, vaping delta 8….feeling like who I was meant to be in this moment",1,,,,,,,,,,,,,,,,,,,,
" OC Health Care Agency Updates: Flu vaccinations available, COVID vaccine booster, costly COVID-19 hospitalizations of unvaccinated, Delta-8 THC Health Advisory -",,,,,,,,,,,,,1,,,,,,,,
" Lets look at this clearly... 

Delta 8 keeps me up and going until I crash. I only need 5 hours of sleep right now to maintain.

Clearly you want to be entertained...

Do your job & spread this shit. I work as hard to keep this shit interesting for you as you do in your 15hr days",,,1,,,,,,,,,,,,,,,,,,
Delta 8 kinda gives me indigestion,,,,,,,,,,,1,,,,,,,,,,
" Delta 8 may not be real weed, but it does a good job tricking your brain that it is.
",,,,,1,1,1,,,,,,,,,,,,,,
Delta 8 ain’t nothing but legalized mid,,,,,,1,,,,,,,,,,,,,,,
Delta 8 got me fried,,,,,1,,,,,,,,,,,,,,,,
" I really love the Delta 8 TruPod. It helps me as much as CBD when I’m really sick, like today. #ReliefNaturally #ad #Delta8 #TruPod 
@Trulieve",,1,,,,,,,,,,,,,,,,,,,
that delta 8 shit hits,,,,,1,,,,,,,,,,,,,,,,
I have delta 8 edibles Bc they’re legal here and they won’t go out of my sight. I would not be giving that shit away,,,,,,,,,,,,,,,,,1,,,,
Them Delta-8’s hitting huh lol,,,,,1,,,,,,,,,,,,,,,,
delta 8 mids,,,,,,1,,,,,,,,,,,,,,,
Noone is giving away free edibles to kids lol even the delta 8 shits are expensive.,,,,,,,,,,,,,,,,,1,,,,
I have really enjoyed the delta-8 disposable vapes. I may have to try this out!,,,,,,,,,,,,,,,,,,1,,,
" 7/Another way to put the point is this: Even for those who believe that prohibitions against individual consumption of cannabis are unwarranted, believing that the bad health effects are exaggerated and that this is about liberty oughta worry about Delta-8, because it is/7",,,,,,,1,,,,,,,,,1,,,,,
Yea not high end but those in the pic are Delta 8 which is legal and will definitely get you high. Even if you are a weed smoker.,,,,,1,1,,,,,,,,,,,,,,,
i used to smoke hella loud back when i was like 17/18 i stopped smoking like that maybe now a few times a year. anyway i can’t be the only one who fucks w delta 8. that’s my shit,,,,,,,1,,,,,,,,,,,,,1,
have you tried delta 8? is legal and does mostly the same thing! you can get it in your local dispensary (Texas needs to get their shit togetehr),,,,,,,1,,,,,,,,,,,,,,
" Kids shouldn't be eating random weed treats. You give them some bunk ass delta 8 shit and they're gonna grow up to be cops or some shit. I gotta check quality first. 

Like I'm not gonna be introducing kids to rap by playing them drake or some shit.",,,,,,,,,,,,1,,,,,1,,,,
" NEW CDC HEALTH ADVISORY
delta-8 THC adverse effects in cannabis",,,,,,,,,,,,,1,,,,,,,,
damn i want edibles now! got some delta 8 last week and usually they are fine but this batch feels like some duds,,,,,,,,,,,,,,,,,1,,,,
Weekly Canna: Delta-8 THC Gets Unwanted Attention – The Paper.,,,,,,,,,,,,,1,,,,,,,,
So…….. I was super skeptical about delta 8 but I was given one as a vape and all I have to say is holy shit……..,,,,,1,,,,,,,,,,,,,1,,,
" I think the secret to taking road trips with your parents and aunts as an adult is a fun little mix of CBD and Delta-8 THC. How many mgs? Nobody knows.

I am c h i l l i n g",1,,,1,1,,1,,,,,,,,,,,,,,
I love delta 8,,,,,,,,,,,,,,,,,,,,1,
" Hey everyone...
If your parent or grandparent takes CBD, make sure that when they go to get it, they actually get CBD and not Delta-8. My wife's stepmom learned the hard way.

Delta-8 is THC. It'll make you high. And if you're not used to that... OH LAWD.",,,,,,,1,,,,,,,,,,,,,,
This delta 8 be hitting,,,,,1,,,,,,,,,,,,,,,,
using delta 8 and getting dangerously chill,,,,,1,,,,,,,,,,,,,,,,
Delta 8 dope,,,,,,,,,,,,,,,,,,,,1,
" In good news i found out that the reason that thc been sending me to eeby deeby is bc i have been taking like 50ish (if not more) mg of delta 8 if i take a full dropper of oil w the gummy

So it was my dumbass fault",1,,,,1,,,,,,,,,,,,1,,,,
The FDA and CDC have issued warning about Delta-8 THC products.  We spoke to a hemp store worker about the benefits he sees and the precautions customers should take.  #delta8 #Hemp,,,,,,,,,,,,,,1,,,,,,,
Anxiety levels still a bit high. Intense pain will do that. Just packed my full spectrum CBD & Delta 8 to take with me to BFs tonight. Will probably leave as soon as my laundry is dry...,1,,,1,,,1,,,,,,,,,,,,,,
" Delta-8 THC is legal in North Carolina and similar to marijuana.

But is it safe? 

Here’s my story:",,,,,,,1,,1,,,,,,,,,,,,
FDA issues warnings on delta-8 THC https://thenewsyard.com/fda-issues-warnings-on-delta-8-thc/,,,,,,,,,,,,,,1,,,,,,,
" MOONWLKR was born out of the curiosity to push the boundaries of what is truly possible with Delta-8. By combining award-winning terpenes and natural flavors in unique, custom blends we explore new dimensions of taste, balance, and euphoria. https://bit.ly/3zUSD1V",,,,,,,,,,,,1,1,,,,,,,,
Delta 8 gummies dont make me paranoid or anxious or zooted they legit just make me calm and pass out. It’s like the best aspects of ouid w/o the paranoia or being too high to even have a normal convo. I love this for me,,,1,1,1,,,,,,,,,,,,,,,,
I don’t think Delta-8 does anything for pot heads. In my experience lol it’s a waste of money.,,,,,,,,,,,,,,,,,,,,,1
I tried the Delta-10-THC just now. As far as potency(when compared to normal Delta-9-THC) it is about equal to Delta-8-THC. It's a more energizing feeling than Delta-8 though. The problem with the THC molecule variants is whether or not you can trust the quality control process.,,,,,,,1,,,,,,,,,,,,,,
The FDA is issuing warnings associated with delta-8 THC.,,,,,,,,,,,,,,1,,,,,,,
" What’s up with Delta 8 THC in NY? Despite government pushback, it remains popular",,,,,,,,,1,1,,,,,1,,,,,,
" I didn't know they'd gone beyond Delta 8, which is a relatively straightforward synthesis from CBD & pretty much exclusively sold in prohibition states I'd imagine. Not sure what the motive for more complexity here would be lol
",,,,,,,1,,,,,,,,,,,,,,
The delta 8 gummies have sunflower oil,,,,,,,,,,,,,,,,,1,,,,
" Delta 8 is lit personally when the plug cuts me or rips on me this is my wave.
Mainly cause this shit can last me 2 months if I go easy on it and don't smoke all day everyday lol",1,,,1,1,,,,,,,,,,,,,,,,
Delta-8’s 2018 Farm Bill Honeymoon May Be Slowly Coming to an End,,,,,,,,,,,,,,,,1,,,,,
hmmm delta 8 feels like boneless weed to me,,,,,,,1,,,,,,,,,,,,,,
Smokin like some Reggie SkullSkull I hit a fuckin delta 8 pack wood the other day immediately threw that shit out,,,,,,,1,,,,,,,,,,,,,,1
" So here’s the lowdown. 

Delta-9 (Reg weed) is 0.9% THC
Delta-8 is 0.3% THC.

All pure. Amazing for anxiety, stress and low level pain.",,1,,1,,,1,,,,,,,,,,,,,1,
" I use a 1gm syringe from my medical dispensary for the regular THC.

I get my Delta 8 from a reputable online service. Strongly suggest you research it.

Basically-

Delta-9 0.9% THC (reg. weed)
Delta-8 0.3% THC

Perfect for anxiety and low grade pain",,1,,,,,1,,,,,,,,,,,,,1,
I got what I thought was a cbd pen from the vape shop and it’s actually delta 8 but it’s one of those pick your mood ones and I picked create and idk what all the hype is about but this really is diet weed. I feel stimulated don’t get me wrong but what,,,,,,1,,,,,,,,,,,,1,,,
Look into Delta 8 THC and/or making your own cannabinoid mixtures. CBN and CBG would help with anxiety without taking away from the high the way CBD does. Delta 8 is a legal form of THC that’s typically better for those with anxiety issues but less potent overall.,,,,1,,1,1,,1,,,,,,,,,,,,
Where do you find Delta 8? I would like to try it,1,,,,,,,,,,,,,,,,,,,,
Nobody told me delta 8 get you stuck. I took 45 mg and 30 mins later everything turned HD,,,,,,,,,,,1,,,,,,,,,,
Delta 8 is just gentrified weed,,,,,,1,1,,,,,,,,,,,,,,1
get a real edible and not that delta-8 shit lmao,,,,,,,1,,,,,,,,,,,,,,1
" So far, because Wisconsin stinks, I have tried Delta 8 gummies…and I found a brand strong enough, and there’s a gentle high that carries for a while but it’s questionable. Not like delta 9 that has been around for ages.",,,,,,,1,,,,,,,,,,1,,,,
" Alcohol help set a mood but often I just get too groggy to hold a thought cause I’m a lightweight.
For writing, I prefer weed of both the THC and CBD only varieties (also delta 8 vapes) It’s good for expansive thoughts and sensations that fuel the mind.",,,,,,,1,,,,,,,,,,,,,,
" Just got my delta 8 vapes Star-struck 
couldn’t be happier",,,,,,,,,,,,,,,,,,1,,,
the delta 8 hit . im in the best mood ever now .,,,,1,,,,,,,,,,,,,,,,1,
" I wish weed was legal in Nebraska, my only option is to go across the border to Colorado to get edibles, and I don’t trust delta 8. Ugh we just need to legalize it already",,,,,,,1,,1,,,,,,,,,,,,1
" One thing to avoid when looking for CBD is delta-8 CBD products and that’s only because they contain .3% THC, there’s not enough of it to be considered illegal but it will give you somewhat of a similar high",,,,,,1,,,,1,,,,,,,,,,,
The Centers for Disease Control and Prevention (CDC) and the Food and Drug Administration (FDA) recently released a warning against the safety of Delta-8-THC. Read the article:,,,,,,,,,,,,,1,1,,1,,,,,
Ok but delta 8 straight. I’m fried fr,,,,,1,,,,,,,,,,,,,,,1,
Delta 8 dabs give you the perfect high for if you gotta do some shit.,,,,,1,,,,,,,,,,,,,,,,
Staying home and taking delta 8 gummies tonight. This is so much better for my brain than liquor.,,,,,,,1,,,,,,,,,,1,,,,
" Wow not gonna lie these Delta 8 gummies are legit. I feel so calm , not making me anxious or have the munchies feeling. I was having high anxiety before I took them and once they kicked in my anxiety went way down. Wow incredible! #CBD #HighlyReccomend",,,,1,,,,,,,,,,,,,1,,,1,
" The Medical Case for Delta-8 THC

The growing list of medical benefits for cannabis is hard to ignore. Users and doctors alike swear by the many treatments it offers...

https://3chi.com/blog/delta-8-is-a-potential-medical-marvel?rfsn=5759637.dc7f4f",,,,,,,,,,,,,1,,,,,,,,
" I have the same back grown, only I drank beer.  I have discovered Delta 8 gummies.  I enjoy them, no booze or other drugs.",,,,,,,1,,,,,,,,,,,,,,
I really appreciate CBD. Weed be too skrong these days giving a brotha anxiety nshit. Delta 8 is calm and right up my alley.,,,,1,,1,,,,,,,,,,,,,,,
Delta 8 was definitely not a disappointment,,,,,,,1,,,,,,,,,,,,,,
i think i overused delta 8 bc now that shit just makes me tired,,,1,,,,,,,,,,,,,,,,,,
As a guy who really likes weed I still don't understand delta-8. Back in my day if we didn't get that high we just called it reggie or brick weed,1,,,,,1,1,,,,,,,,,,,,,,
TFW delta 8 hits better than delta 9,,,,,,,1,,,,,,,,,,,,,,
" if its delta 8, 25mgs get me there but make me tired
10mg is good for the real stuff but i can take up to 20 for a real nice time",,,,,,,1,,,,,,,,,,,,,,
" Delta-8 THC Deep Dive > https://bit.ly/3oqPK6E

""#Delta8 #THC has been reported, through both formal research and anecdotal testimony, to deliver roughly two-thirds of the #psychoactivity of the delta-9 isomer, but without the paranoia.""",,,,,,,,,,,,,1,,,1,,,,,
about to go over to my grandma’s house………. popping a delta 8 gummy before i make the journey for my own inner peace,,,,1,1,,,,,,,,,,,,1,,,,
Delta 8 is actually pretty banger,,,,,,,1,,,,,,,,,,,,,,
" Why is Delta 8 so shitty and not worth regulating, but the same exact plant with a 4% difference in THC is?",,,,,,,1,,,1,,,,,,,,,,,
" yeppp, delta-8 Red vape, been enjoying this one all week ",,,,,,,,,,,,,,,,,,1,,,
yooo delta 8 edibles are no joke im still high from last night,,,,,1,,,,,,,,,,,,,,,,
" Last week had my first try.. I took about a forth of a Delta 8 gummy.. I slept for 2.5 hours
. deep sleep! ",,,,,,,,,,,,,,,,,1,,,,
are we going to talk about delta 8 or…… i have so many questions and curiosities legally and chemically,,,,,,,,,,1,,,,,,,,,,,
I’m still slowly doing my research and field investigation of delta 8 but I think I may transition or alternate if I can get long term data,,,,,,,,,,1,,,,,,,,,,,
this delta 8 firee,,,,,,,,,,,,,,,,,,,,1,
" Was addicted to Delta 8 for a couple months. I could get high whenever and even wherever I wanted. Had no self control, finally I've quit.",,,,,1,,,,,,1,,,,,,,,,,
If you buy delta 8 you’re an asshole,,,,,,,,,,,,,,,,,,,,,1
The delta 8 cart I have right now puts me straight to sleep. Lmao ima only use that at bedtime. I slept all day.,,,1,,,,,,,,,,,,,,,1,,,
Thank you Pennsylvania for having delta 8. It's a legal form of THC that I can use in moderation and not have a reaction to. Two hearts FINALLY I CAN SLEEP.,,,1,,,,,,,,,,,,,,,,,,
trying a delta 8 gummy. this could be the new vibe? more later.,,,,,,,,,,,,,,,,,1,,,,
Delta-8 is just diet THC,,,,,,1,,,,,,,,,,,,,,,
" i took a quarter of a delta 8 edible and if this is what edibles are like for everyone else, i FINALLY get it",,,,,,,,,,,,,,,,,1,,,,
I honestly find much more benefit from Delta-8 gummies and cartridges. But yeah CBD oil is pretty decent.,,,,,,,1,,,,,,,,,,1,,,,
Consider that Delta 8 is another strain of THC and it’s potency will only grow with time. So in a lot of ways weeds been legal federally since 2018 thanks to Trumps economic war with China.,,,,,,,1,,,,,,,1,,,,,,,
I’m deadass craving another delta 8 vape,,,,,,,,,,,,,,,,,,1,,,
Is going ok just got off work I’m so tired can’t wait to save up and cop some delta 8,,,,,1,,,,,,,,,,,,,,,,
" i was skeptical of delta-8, but this shit's great",,,,,,,,,,,,,,,,,,,,1,
" I took a 10 mg Delta 8 gummy last night and just felt so relaxed like no stress at all, but still able to function normally",,,,1,,,,,,,,,,,,,,,,,
Delta 8 don’t do shit either go get some loud,1,,,,,,,,,,,,,,,,,,,,1
Delta 8 THC Is Cool..,1,,,,,,,,,,,,,,,,,,,1,
high as hell off this 25$ gas station delta 8 cart,,,,,1,,,,,,,,,,,,1,,,,
delta 8 gummies are so good,,,,,,,,,,,,,,,,,,,,,
never again am I trying delta 8 my dumbass ate a whole 1000mg edible and almost died I had to fix phones like this worst fuck up ever that’s what I get for not reading the bag,,,,,,,,,,,,,,,,,,,1,,
have any of y’all tried delta 8 wtf is that,1,,,,,,,,,,,,,,,,,,,,
Agree. Also delta-8 gummies are miraculous for pain (esp nerve pain) if you haven’t already tried this. Less loopy high too which is Thumbs up for me!,,1,,,,,,,,,,,,,,,,,,,
took a delta 8 and instantly started sweating,,,,,,,,,,,1,,,,,,,,,,
smoking gas this not delta 8,,,,,,,1,,,,,,,,,,,,,,
Delta 8 is really such a blessing lol,,,,,,,,,,,,,,,,,,,,1,
dude ngl like delta 8 slaps and farts my guy,,,,,,,,,,,,,,,,,,,,1,
Try delta 8,1,,,,,,,,,,,,,,,,,,,,
Kassi works with this company called green relief and they do delta 8 pens and edibles and they have been AMAZING,,,,,,,,,,,,,,,,,1,1,,,
yeah they had delta 8 with indica and sativa too we picked up some stuff for my grandpa and i got one of those little disposables with indica to help me sleep since you’ve seen first hand how sleepy indica makes me,,,1,,,,,,,,,,,,,,,,,,
" Given the solvent acids they use to make Delta-8, I wouldn't touch the stuff unless each batch is lab tested.",,,,,,,1,,,,,1,,,,,,,,,
Facts. I’ve tried Delta 8 too and that is very calming,,,,1,,,,,,,,,,,,,,,,,
Delta 8 be hitting,,,,,1,,,,,,,,,,,,,,,,
" Okay so apparently Delta-8 THC is still controversial, should maybe consider avoiding in the future.",,,,,,,,,,,,,,,1,,,,,,
Working in a smoke n vape shop is so annoying no I haven’t tried delta 8 I smoke real weed at home and in the bathroom here at work I don’t have any recommendations,,,,,,,1,1,,,,,,,,,,1,,,
" Actually I just tried delta 8 recently while visiting Sacramento, and it really was helpful! Very pleasant and def reduced anxiety. Too bad I can't get it here in NC lol.",,,,1,,,,,,,,,,,,,,,,,
Oh delta 8. I love you.,,,,,,,,,,,,,,,,,,,,1,
Wish my state was cool and didn’t make delta 8 illegal. Aside from myself I know plenty of people who would benefit from it.,,,,1,,,,,,1,,,,,,,,,,,
Lol good because them delta 8 I got will have you paralyzed,,,,,,,,,,,,,,,,,,,,,
... delta 8 is kinda good,1,,,,,,,,,,,,,,,,,,,,
Happy to hear it!  Delta 8 is a game changer:),,,,,,,,,,,,,,,,,,,,1,
" A few months now, I tried vaping for CBD/Delta 8 pain management and it works. But I have baby lungs and most of them tear me apart. I found ONE company with ONE version I can tolerate.
The new one tastes like grandma perfume but it works.
I still think it's dumb, but it works.",,,,,,,1,,,,,,,,,,,,,,
those delta 8 candies really smack ya right in the face,,,,,,,,,,,,,,,,,1,,,,
" We have Delta 8 in Tennessee. I use that. It’s okay…

I have constant back pain. So it helps.",,1,,,,,,,,,,,,,,,,,,,
Took a Delta 8 gummy and I don't feel sh*t.,,,,,,,,,,,,,,,,,1,,,,
Delta 8 is ass and I will be sticking to my illegal ways,,,,,,,,,,1,,,,,,,,,,,1
i love delta 8 so much y’all,,,,,,,,,,,,,,,,,,,,1,
Me rn lmaoooo I even went n bought some delta 8 THC and this shit is jus diet weed :-(,,,,,,1,,,,,,,,,,,,,,,
well i will always be hitting delta 8 pen b4 work now bc that was fantastic i didnt get MAD at any rude customer ONCE today i was like U KNOW WHAT I FEEL SO GOOD AND FLIRTY TODAYsooooo flirt with me or get outtttaaa my face,,,,1,1,,,,,,,,,,,,,1,,,
If we talkin delta 8…. These are top of the hill…. I’m off world right now,,,,,1,,,,,,,,,,,,,,,,
Have you tried the Delta 8 THC? It’s good ish and it doesn’t knock you off your feet. Plus it’s legal here in TX,1,,,,,1,,,,,,,,,,,,,,,
p sure delta-8 fucked me up fam stop while you can,,,,,,,,,,1,,,,,,,,,,,
" No shit. I won't even hand over my delta 8 gummies, and all that shit does is make me sleepy.",,,,,,,,,,,,,,,,,1,,,,
Delta 8 really took me to another dimension last night,,,,,1,,,,,,,,,,,,,,,,
" No proof of your case in there.  Purely speculation, and who is to trust the money grubbing government isn’t lobbying for their own gain.  I personally have been completely fine vaping and ingesting delta 8 and thc-o.  Look me up @coffeecolorbrotha",,,,,,,,,,1,,,,,,,,,,,
" Braden has entered another plane of existence. Delta 8 is like, Weed Lite.",,,,,,1,,,,,,,,,,,,,,,
Delta 8 edibles are a wild time. Godspeed.,,,,,,,,,,,,,,,,,1,,,,
There are no standards of regulation for this fad synthetic chemical. It doesn't exist in nature. There is a reason Colorado outlawed Delta 8.  We're you at Champs?,,,,,,,,,,1,,,,,,,,,,,
" Confession:

I'm starting to enjoy Delta 8/10 more than I do with organic THC.",,,,,,,1,,,,,,,,,,,,,,
delta 8 be kinda crazy,1,,,,1,,,,,,,,,,,,,,,,
" Have you heard of Delta 8? News 3's 
@ClayFalls
 takes a look at what it is and why we are seeing some people being arrested in Brazos County for possessing it.",,,,,,,,,,,,,,,1,,,,,,
That delta 8 stuff actually works,,,,,,,,,,,,,,,,,,,,1,
" Overall I'd have to say the Delta 8 and Delta 10 market have the potential to be threats to Floridas medical market if left unregulated. The costs are significantly cheaper than a medical dispensary, and it was quite easy to get. Still prefer Delta 9 and lab testing tho

#MSOgang",,,,,,,1,,,,,,,,,,,,,,
" So, I tried a couple of edible delta-8 THC products for this story. They did in fact work as advertised -- one more than the other.",,,,,,,,,,,,,,,,,1,,,,
" i had some good delta 8 shatter last year, i feel like it all depends on the terps they use. we've all hit w cbd pen that tasted like e juice before",,,,,,,1,,,,,,,,,,,1,,,
" yeah it hurts my lungs and keeps getting stuck so i have to pull hard and i have to smoke so much of it to feel anything it’s just not worth it, i like the cake delta 8 pens tho",,,,,,,,,,,,,,,,,,1,,,
Delta 8 and Delta 10 are spreading all over Minnesota while legislators drag their feet to legalize Delta 9. Some people repeatedly can't tell any difference. What a crazy loophole.,,,,,,,1,,,1,,,,,,,,,,,
You know what? Delta 8 isn’t too bad,,,,,,,,,,,,,,,,,,,,,1
Delta 8 is so much stronger than regular cbd,,,,,,,1,,,,,,,,,,,,,,
" Is regulation coming down on the Delta 8 and Delta 10 industry? Maybe.

#delta8 #delta10 #hemp #cbd #nihc #policy",,,,,,,,,,1,,,,,,,,,,,
This delta 8 not so bad I fuxxx wit it,,,,,,,1,,,,,,,,,,,,,,
" Anyone buy delta 8 or 10 vapes or edibles? If so what are your favs? I've only tried one brand of D8 edibles, and honestly I didn't feel anything. Suggestions and favs if you got them! Leave a comment or dm me if you don't wanna put it on blast",,,,,,,,,,,,,,,,,1,,,,
" after a couple days of just using delta 8, i must say i enjoy it more than delta 9.",,,,,,,1,,,,,,,,,,,,,,
Paring this 16% CBD bud & 89% delta 8 THC. Thanks loophole laws. I’m zoinked,,,,,1,,1,,,,,,,,,,,,,,
I’m a little over 2 months. Delta 8 gummies have helped with the stress,,,,1,,,,,,,,,,,,,1,,,,
There’s fentanyl in that Delta 8 shit because that’s a different kind of substance lmaoo,,,,,,,,,,,,1,,,,,,,,,
Fuck delta 8 is way stronger than I thought,,,,,,,1,,,,,,,,1,,,,,,
You on that gas station delta 8 bro? Your tweekin lol,,,,,,,1,,,,,,,,,,,,,,
Delta-8 THC Legality: Why Regulations Are On The Rise https://radaronline.com/p/delta-8-thc-legality-why-regulations-are-on-the-rise/ #SmartNews,,,,,,,,,,1,,,,,,,,,,,
delta 8 is Face vomiting,,,,,,,,,,,,,,,,,,,,,1
I dont endorse usage of Delta-8 tetrahydrocannabinol,,,,,,,,,,,,,,,,,,,,,1
" In the Weeds: Delta-8 Warnings, Cannabis Use for Athletes and Use in California Healthcare Facilitie... http://bit.ly/3Fktt0u #cannabis",,,,,,,,,,,,,1,,,,,,,,
" Oh shit, I didn't know all that. I know the only difference I've ever noticed with Delta 8 is the effects don't last as long as with Delta 9, but thanks for the heads up!",,,,,,1,1,,,,,,,,,,,,,,
bought a delta 8 vape for the shits and giggles now i don’t know where i am,,,,,,,,,,,,,,,,,,1,,,
CDC,,,,,,,,,,1,,,,,,,,,,,
Let me tell yall....do not take 2 delta 8 gummies at the same time. You will regret it for several hours,,,,,,,,,,,,,,,,,1,,,,
" Don't miss this opportunity to take your Delta 8 knowledge even further. 

Including what it is, where it comes from, the legality, and even how to make Delta 8.

https://extraktlab.com/delta-8-thc-course/

s #extraktLAB #education #free #course",,,,,,,,,1,1,,,,,,,,,,,
if it’s delta 8 stop smoking that shit immediately please,,,,,,,,,1,,,,,,,,,,,,1
" I bought delta 8 shisha, i like",,,,,,,,,,,,,,,,,,,,1,
whooaaaaa brother this delta 8 got me,,,,,1,,,,,,,,,,,,,,,,
